Exercice;Outre-mer;Code Insee 2024 Région;Nom 2024 Région;Code Insee 2024 Département;Nom 2024 Département;Code Siren 2024 EPCI;Nom 2024 EPCI;Strate population 2024;Commune rurale;Commune de montagne;Commune touristique;Tranche revenu par habitant;Présence QPV;Code Insee 2024 Commune;Nom 2024 Commune;Catégorie;Code Siren Collectivité;Code Insee Collectivité;Libellé Budget;Agrégat;Montant BP;Montant BA;Montant flux BP-BA;Montant;Montant en millions;Population totale;Montant en € par habitant;Compte 2024 Disponible;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;Population totale du dernier exercice
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200043982;Communauté de communes du Bazadais;3;Oui;Non;Non;2;Non;33095;Captieux;Commune;213300957;33095;CAPTIEUX;Dépenses d'équipement;98901.09;172770.43;0.0;271671.52;0.27167152;1356;200.34772861356933;1;;;;;;;;2;;;2024;1356
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243300316;Bordeaux Métropole;6;Non;Non;Non;2;Non;33096;Carbon-Blanc;Commune;213300965;33096;CARBON-BLANC;Dépenses d'équipement;1759688.29;0.0;0.0;1759688.29;1.75968829;8386;209.83642857142857;1;;;;;;;;2;;;2024;8386
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200070720;Communauté de communes Médoc Atlantique;4;Oui;Non;Oui;3;Non;33097;Carcans;Commune;213300973;33097;CARCANS;Dépenses d'équipement;3092294.04;495892.38;0.0;3588186.42;3.58818642;2454;1462.1786552567237;1;;;;;;;;2;;;2024;2454
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200069581;Communauté de communes Convergence Garonne;3;Oui;Non;Non;2;Non;33098;Cardan;Commune;213300981;33098;CARDAN;Dépenses d'équipement;46778.59;0.0;0.0;46778.59;0.046778589999999995;520;89.95882692307691;1;;;;;;;;2;;;2024;520
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301355;Communauté de communes Les Coteaux Bordelais;5;Non;Non;Non;3;Non;33099;Carignan-de-Bordeaux;Commune;213300999;33099;CARIGNAN-DE-BORDEAUX;Dépenses d'équipement;1055521.08;0.0;0.0;1055521.08;1.0555210800000001;4282;246.50188696870623;1;;;;;;;;2;;;2024;4282
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200023794;Communauté de communes de Blaye;3;Non;Non;Non;2;Non;33100;Cars;Commune;213301005;33100;CARS;Dépenses d'équipement;416004.49;0.0;0.0;416004.49;0.41600449;1232;337.66598214285716;1;;;;;;;;2;;;2024;1232
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243300811;Communauté de communes de l'Estuaire;3;Non;Non;Non;1;Non;33101;Cartelègue;Commune;213301013;33101;CARTELEGUE;Dépenses d'équipement;128163.98;0.0;0.0;128163.98;0.12816397999999998;1286;99.66094867807153;1;;;;;;;;2;;;2024;1286
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200044394;Communauté de communes du Réolais en Sud Gironde;2;Non;Non;Non;1;Non;33102;Casseuil;Commune;213301021;33102;CASSEUIL;Dépenses d'équipement;55896.25;0.0;0.0;55896.25;0.05589625;378;147.87367724867724;1;;;;;;;;2;;;2024;378
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200069599;Communauté de communes rurales de l'Entre-Deux-Mers;0;Oui;Non;Non;1;Non;33103;Castelmoron-d'Albret;Commune;213301039;33103;CASTELMORON-D'ALBRET;Dépenses d'équipement;16251.2;0.0;0.0;16251.2;0.0162512;53;306.6264150943396;1;;;;;;;;2;;;2024;53
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301389;Communauté de communes Médullienne;5;Non;Non;Non;2;Non;33104;Castelnau-de-Médoc;Commune;213301047;33104;CASTELNAU-MEDOC;Dépenses d'équipement;1441834.45;0.0;0.0;1441834.45;1.44183445;4899;294.31199224331493;1;;;;;;;;2;;;2024;4899
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200069599;Communauté de communes rurales de l'Entre-Deux-Mers;2;Oui;Non;Non;1;Non;33105;Castelviel;Commune;213301054;33105;CASTELVIEL;Dépenses d'équipement;2618.4;0.0;0.0;2618.4;0.0026184;214;12.235514018691589;1;;;;;;;;2;;;2024;214
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301454;Communauté de communes Castillon/Pujols;4;Non;Non;Non;1;Non;33108;Castillon-la-Bataille;Commune;213301088;33108;CASTILLON-LA-BATAILLE;Dépenses d'équipement;1739031.71;0.0;0.0;1739031.71;1.73903171;3305;526.1820605143721;1;;;;;;;;2;;;2024;3305
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301264;Communauté de communes de Montesquieu;4;Non;Non;Non;2;Non;33109;Castres-Gironde;Commune;213301096;33109;CASTRES-GIRONDE;Dépenses d'équipement;1054500.72;0.0;0.0;1054500.72;1.05450072;2611;403.8685254691689;1;;;;;;;;2;;;2024;2611
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200044394;Communauté de communes du Réolais en Sud Gironde;3;Non;Non;Oui;1;Non;33111;Caudrot;Commune;213301112;33111;CAUDROT;Dépenses d'équipement;869320.25;1551.31;0.0;870871.56;0.8708715600000001;1120;777.563892857143;1;;;;;;;;2;;;2024;1120
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200069599;Communauté de communes rurales de l'Entre-Deux-Mers;1;Oui;Non;Non;1;Non;33112;Caumont;Commune;213301120;33112;CAUMONT;Dépenses d'équipement;194829.01;0.0;0.0;194829.01;0.19482901;139;1401.6475539568346;1;;;;;;;;2;;;2024;139
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200043982;Communauté de communes du Bazadais;1;Oui;Non;Non;2;Non;33113;Cauvignac;Commune;213301138;33113;CAUVIGNAC;Dépenses d'équipement;67126.55;0.0;0.0;67126.55;0.06712655000000001;146;459.77089041095894;1;;;;;;;;2;;;2024;146
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301181;Communauté de communes Latitude Nord Gironde;4;Non;Non;Non;1;Non;33114;Cavignac;Commune;213301146;33114;CAVIGNAC;Dépenses d'équipement;828996.39;19719.0;0.0;848715.39;0.8487153900000001;2404;353.0430074875208;1;;;;;;;;2;;;2024;2404
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200043974;Communauté de communes du Sud Gironde;2;Oui;Non;Non;2;Non;33115;Cazalis;Commune;213301153;33115;CAZALIS;Dépenses d'équipement;13179.0;0.0;0.0;13179.0;0.013179;243;54.23456790123457;1;;;;;;;;2;;;2024;243
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200043982;Communauté de communes du Bazadais;2;Oui;Non;Non;2;Non;33116;Cazats;Commune;213301161;33116;CAZATS;Dépenses d'équipement;99591.01;0.0;0.0;99591.01;0.09959101;406;245.2980541871921;1;;;;;;;;2;;;2024;406
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200069599;Communauté de communes rurales de l'Entre-Deux-Mers;2;Oui;Non;Non;1;Non;33117;Cazaugitat;Commune;213301179;33117;CAZAUGITAT;Dépenses d'équipement;8373.1;0.0;0.0;8373.1;0.0083731;216;38.764351851851856;1;;;;;;;;2;;;2024;216
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301439;Communauté de communes des Portes de l'Entre-Deux-Mers;4;Non;Non;Non;3;Non;33118;Cénac;Commune;213301187;33118;CENAC;Dépenses d'équipement;1314321.2;0.0;0.0;1314321.2;1.3143212;2167;606.5164743885556;1;;;;;;;;2;;;2024;2167
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243300316;Bordeaux Métropole;8;Non;Non;Non;1;Oui;33119;Cenon;Commune;213301195;33119;CENON;Dépenses d'équipement;3745763.15;121712.15;0.0;3867475.3;3.8674752999999997;27014;143.16559191530317;1;;;;;;;;2;;;2024;27014
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200069581;Communauté de communes Convergence Garonne;4;Non;Non;Non;1;Non;33120;Cérons;Commune;213301203;33120;CERONS;Dépenses d'équipement;540952.51;0.0;0.0;540952.51;0.54095251;2173;248.94271053842616;1;;;;;;;;2;;;2024;2173
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;200069599;Communauté de communes rurales de l'Entre-Deux-Mers;1;Oui;Non;Oui;2;Non;33121;Cessac;Commune;213301211;33121;CESSAC;Dépenses d'équipement;25502.01;0.0;0.0;25502.01;0.02550201;198;128.7980303030303;1;;;;;;;;2;;;2024;198
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301165;Communauté de communes Jalle-Eau-Bourde;7;Non;Non;Non;3;Non;33122;Cestas;Commune;213301229;33122;CESTAS;Dépenses d'équipement;3474379.86;1013218.29;0.0;4487598.15;4.48759815;17070;262.8938576449912;1;;;;;;;;2;;;2024;17070
2024;Non;75;Nouvelle-Aquitaine;33;Gironde;243301181;Communauté de communes Latitude Nord Gironde;4;Non;Non;Non;1;Non;33123;Cézac;Commune;213301237;33123;CEZAC;Dépenses d'équipement;1054539.97;0.0;0.0;1054539.97;1.05453997;2728;386.56157258064513;1;;;;;;;;2;;;2024;2728
